iteration,w_mse,w_anatomy
0,1.00000000,0.00247262
1,1.00000000,0.00252245
2,1.00000000,0.00257327
3,1.00000000,0.00262512
4,1.00000000,0.00267801
5,1.00000000,0.00273196
6,1.00000000,0.00278700
7,1.00000000,0.00284314
8,1.00000000,0.00290041
9,1.00000000,0.00295882
10,1.00000000,0.00301842
11,1.00000000,0.00307920
12,1.00000000,0.00314121
13,1.00000000,0.00320447
14,1.00000000,0.00326899
15,1.00000000,0.00333481
16,1.00000000,0.00340195
17,1.00000000,0.00347043
18,1.00000000,0.00354029
19,1.00000000,0.00361155
20,1.00000000,0.00368424
21,1.00000000,0.00375839
22,1.00000000,0.00383402
23,1.00000000,0.00391117
24,1.00000000,0.00398987
25,1.00000000,0.00407014
26,1.00000000,0.00415202
27,1.00000000,0.00423554
28,1.00000000,0.00432073
29,1.00000000,0.00440763
30,1.00000000,0.00449627
31,1.00000000,0.00458669
32,1.00000000,0.00467891
33,1.00000000,0.00477298
34,1.00000000,0.00486893
35,1.00000000,0.00496680
36,1.00000000,0.00506663
37,1.00000000,0.00516845
38,1.00000000,0.00527231
39,1.00000000,0.00537825
40,1.00000000,0.00548630
41,1.00000000,0.00559651
42,1.00000000,0.00570892
43,1.00000000,0.00582358
44,1.00000000,0.00594052
45,1.00000000,0.00605980
46,1.00000000,0.00618146
47,1.00000000,0.00630555
48,1.00000000,0.00643211
49,1.00000000,0.00656119
50,1.00000000,0.00669285
51,1.00000000,0.00682713
52,1.00000000,0.00696409
53,1.00000000,0.00710377
54,1.00000000,0.00724624
55,1.00000000,0.00739154
56,1.00000000,0.00753973
57,1.00000000,0.00769088
58,1.00000000,0.00784502
59,1.00000000,0.00800223
60,1.00000000,0.00816257
61,1.00000000,0.00832609
62,1.00000000,0.00849286
63,1.00000000,0.00866294
64,1.00000000,0.00883640
65,1.00000000,0.00901330
66,1.00000000,0.00919371
67,1.00000000,0.00937769
68,1.00000000,0.00956532
69,1.00000000,0.00975667
70,1.00000000,0.00995180
71,1.00000000,0.01015080
72,1.00000000,0.01035374
73,1.00000000,0.01056069
74,1.00000000,0.01077173
75,1.00000000,0.01098694
76,1.00000000,0.01120641
77,1.00000000,0.01143020
